year,section,block_index,content,source,,,,,,,,,,,,
2014,감사의견,0,"독립된 감사인의 감사보고서 삼성전자주식회사주주 및 이사회 귀중 우리는 별첨된 삼성전자주식회사의 재무제표를 감사하였습니다. 동 재무제표는 2014년 12월 31일과 2013년 12월 31일 현재의 재무상태표, 동일로 종료되는 양 보고기간의 손익계산서, 포괄손익계산서, 자본변동표 및 현금흐름표 그리고 유의적인 회계정책의 요약과 그 밖의 설명정보로 구성되어 있습니다.재무제표에 대한 경영진의 책임경영진은 한국채택국제회계기준에 따라 이 재무제표를 작성하고 공정하게 표시할 책임이 있으며, 부정이나 오류로 인한 중요한 왜곡표시가 없는 재무제표를 작성하는데 필요하다고 결정한 내부통제에 대해서도 책임이 있습니다.감사인의 책임우리의 책임은 우리가 수행한 감사를 근거로 해당 재무제표에 대하여 의견을 표명하는데 있습니다. 우리는 대한민국의 회계감사기준에 따라 감사를 수행하였습니다. 이 기준은 우리가 윤리적 요구사항을 준수하며 재무제표에 중요한 왜곡표시가 없는지에대한 합리적인 확신을 얻도록 감사를 계획하고 수행할 것을 요구하고 있습니다.감사는 재무제표의 금액과 공시에 대한 감사증거를 입수하기 위한 절차의 수행을 포함합니다. 절차의 선택은 부정이나 오류로 인한 재무제표의 중요한 왜곡표시위험에 대한 평가 등 감사인의 판단에 따라 달라집니다. 감사인은 이러한 위험을 평가할 때, 상황에 적합한 감사절차를 설계하기 위하여 기업의 재무제표 작성 및 공정한 표시와관련된 내부통제를 고려합니다. 그러나 이는 내부통제의 효과성에 대한 의견을 표명하기 위한 것이 아닙니다.  감사는 또한 재무제표의 전반적 표시에 대한 평가뿐 아니라, 재무제표를 작성하기 위하여 경영진이 적용한 회계정책의 적합성과 경영진이 도출한 회계추정치의 합리성에 대한 평가를 포함합니다.우리가 입수한 감사증거가 감사의견을 위한 근거로서 충분하고 적합하다고 우리는 믿습니다.감사의견우리의 의견으로는 회사의 재무제표는 삼성전자주식회사의 2014년 12월 31일과 2013년 12월 31일 현재의 재무상태, 동일로 종료되는 양 보고기간의 재무성과 및 현금흐름을 한국채택국제회계기준에 따라 중요성의 관점에서 공정하게 표시하고 있습니다.기타사항삼성전자주식회사의 2013년 12월 31일로 종료되는 보고기간의 재무제표는 종전 대한민국의 회계감사기준에 따라 감사가 수행되었습니다. 서울특별시 용산구 한강대로 92삼  일  회  계  법  인대 표 이 사   안  경  태 2015년 2월 24일 이 감사보고서는 감사보고서일(2015년2월 24일) 현재로 유효한 것입니다. 따라서 감사보고서일 이후 이 보고서를 열람하는 시점까지의 기간 사이에 회사의 재무제표에 중대한 영향을 미칠 수 있는 사건이나 상황이 발생할 수도 있으며 이로 인하여 이 감사보고서가 수정될 수도 있습니다.",감사보고서_2014.htm,,,,,,,,,,,,
2014,표지,1,"(첨부)재 무 제 표 삼성전자주식회사 제 46 기2014년 01월 01일부터2014년 12월 31일까지 제 45 기2013년 01월 01일부터2013년 12월 31일까지 ""첨부된 재무제표는 당사가 작성한 것입니다.""삼성전자주식회사 대표이사 권오현 본점 소재지 :(도로명주소)경기도 수원시 영통구 삼성로 129 (매탄동)(전   화)031-200-1114",감사보고서_2014.htm,,,,,,,,,,,,
2014,재무상태표,3,"재 무 상 태 표제 46 기 : 2014년 12월 31일 현재제 45 기 : 2013년 12월 31일 현재삼성전자주식회사(단위 : 백만원) 과                      목주석제 46 (당) 기제 45 (전) 기자               산Ⅰ. 유  동  자  산62,054,77360,603,6941. 현금및현금성자산4, 6, 71,643,3182,030,3072. 단기금융상품5, 6, 726,454,09327,463,3453. 단기매도가능금융자산6, 92,137,5331,488,5274. 매출채권6, 7, 1018,940,78617,748,9785. 미수금103,218,9732,734,5726. 선급금977,1141,007,6857. 선급비용1,846,3601,373,1408. 재고자산115,553,8345,880,4639. 기타유동자산821,079876,67710. 매각예정분류자산12, 34461,683-Ⅱ. 비 유 동 자 산102,005,81094,222,2631. 장기매도가능금융자산6, 97,106,2343,956,9522. 종속기업, 관계기업 및  공동기업 투자1241,857,43142,258,0493. 유형자산1343,744,25941,439,3724. 무형자산143,051,5642,495,3025. 장기선급비용4,415,9352,951,8136. 순확정급여자산17135,951-7. 기타비유동자산1,694,4361,120,775자  산  총  계164,060,583154,825,957부          채Ⅰ. 유  동  부  채28,208,63827,597,9441. 매입채무64,677,5275,742,1162. 단기차입금6, 8, 152,928,1822,811,5653. 미지급금66,460,1665,404,5734. 선수금139,803141,5825. 예수금596,164514,2356. 미지급비용7,413,1485,952,7457. 미지급법인세1,707,1762,207,1188. 유동성사채6, 165,3045,0839. 충당부채184,246,0544,805,19310. 기타유동부채14,85513,73411. 매각예정분류부채3420,259-Ⅱ. 비 유 동 부 채3,174,8704,857,2461. 사채6, 1663,64866,0792. 장기미지급금62,305,055769,0023. 순확정급여부채17-1,500,2224. 이연법인세부채29364,3661,954,1715. 장기충당부채18437,974415,7186. 기타비유동부채3,827152,054부  채  총  계31,383,50832,455,190자          본Ⅰ. 자본금20897,514897,5141. 우선주자본금119,467119,4672. 보통주자본금778,047778,047Ⅱ. 주식발행초과금4,403,8934,403,893Ⅲ. 이익잉여금21134,464,189122,029,419Ⅳ. 기타자본항목23(7,113,271)(4,960,059)Ⅴ. 매각예정분류기타자본항목3424,750-자  본  총  계132,677,075122,370,767부채와자본총계164,060,583154,825,957 별첨 주석은 본 재무제표의 일부입니다.",감사보고서_2014.htm,,,,,,,,,,,,
2014,손익계산서,4,"손 익 계 산 서제 46 기 : 2014년 1월 1일부터 2014년 12월 31일까지제 45 기 : 2013년 1월 1일부터 2013년 12월 31일까지삼성전자주식회사(단위 : 백만원) 과            목주석제 46 (당) 기제 45 (전) 기Ⅰ. 매     출     액137,825,547158,372,089Ⅱ. 매   출   원   가2599,188,713110,731,528Ⅲ. 매  출  총  이  익38,636,83447,640,561판매비와관리비25, 2624,711,84025,833,556Ⅳ. 영   업   이   익13,924,99421,807,005기   타   수   익273,507,3033,130,308기   타   비   용27706,929792,210금   융   수   익284,289,1183,918,900금   융   비   용283,733,8453,846,744Ⅴ. 법인세비용차감전순이익17,280,64124,217,259법  인  세  비  용292,688,8606,287,739Ⅵ. 당  기  순  이  익14,591,78117,929,520Ⅶ. 주   당   이   익30기본주당이익(단위:원)96,784118,946희석주당이익(단위:원)96,779118,921 별첨 주석은 본 재무제표의 일부입니다.",감사보고서_2014.htm,,,,,,,,,,,,
2014,손익계산서,5,"포 괄 손 익 계 산 서제 46 기 : 2014년 1월 1일부터 2014년 12월 31일까지제 45 기 : 2013년 1월 1일부터 2013년 12월 31일까지삼성전자주식회사(단위 : 백만원) 과            목주석제 46 (당) 기제 45 (전) 기Ⅰ. 당기순이익14,591,78117,929,520Ⅱ. 기타포괄손익(1,026,468)(269,819)후속적으로 당기손익으로 재분류되지 않는 포괄손익(572,373)(165,832)1. 순확정급여부채 재측정요소17, 23(572,373)(165,832)후속적으로 당기손익으로 재분류되는 포괄손익(454,095)(103,987)1. 매도가능금융자산평가손익9, 23(454,095)(103,987)Ⅲ. 총포괄이익13,565,31317,659,701 별첨 주석은 본 재무제표의 일부입니다.",감사보고서_2014.htm,,,,,,,,,,,,
2014,자본변동표,6,"자 본 변 동 표제 46 기 : 2014년 1월 1일부터 2014년 12월 31일까지제 45 기 : 2013년 1월 1일부터 2013년 12월 31일까지삼성전자주식회사(단위 : 백만원) 과          목주석자본금주식발행초과금이익잉여금기타자본항목매각예정분류기타자본항목총   계2013.1.1 (전기초)897,5144,403,893105,306,520(4,720,058)-105,887,869Ⅰ. 총포괄손익1. 당기순이익--17,929,520--17,929,5202. 매도가능금융자산평가9, 23---(103,987)-(103,987)3. 순확정급여부채 재측정요소17, 23---(165,832)-(165,832)Ⅱ. 자본에 직접 인식된 주주와의 거래1. 배당21, 22--(1,206,621)--(1,206,621)2. 자기주식의 처분23, 24---41,817-41,8173. 주식선택권23, 24---(11,999)-(11,999)2013.12.31 (전기말)897,5144,403,893122,029,419(4,960,059)-122,370,7672014.1.1 (당기초)897,5144,403,893122,029,419(4,960,059)-122,370,767Ⅰ. 총포괄손익1. 당기순이익--14,591,781--14,591,7812. 매도가능금융자산평가9, 23---(454,095)-(454,095)3. 순확정급여부채 재측정요소17, 23---(572,373)-(572,373)4. 매각예정분류---(24,750)24,750-Ⅱ. 자본에 직접 인식된 주주와의 거래1. 배당21, 22--(2,157,011)--(2,157,011)2. 자기주식의 취득23, 24---(1,125,322)-(1,125,322)3. 자기주식의 처분23, 24---32,764-32,7644. 주식선택권23, 24---(9,436)-(9,436)2014.12.31 (당기말)897,5144,403,893134,464,189(7,113,271)24,750132,677,075 별첨 주석은 본 재무제표의 일부입니다.",감사보고서_2014.htm,,,,,,,,,,,,
2014,현금흐름표,7,"현 금 흐 름 표제 46 기 : 2014년 1월 1일부터 2014년 12월 31일까지제 45 기 : 2013년 1월 1일부터 2013년 12월 31일까지삼성전자주식회사(단위 : 백만원) 과                       목주석제 46 (당) 기제 45 (전) 기Ⅰ. 영업활동 현금흐름18,653,81728,443,0581. 영업에서 창출된 현금흐름20,854,60131,520,938가. 당기순이익14,591,78117,929,520나. 조정3110,894,72413,302,395다. 영업활동으로 인한 자산부채의 변동31(4,631,904)289,0232. 이자의 수취854,946441,6593. 이자의 지급(91,827)(65,476)4. 배당금 수입1,505,107711,9255. 법인세 납부액(4,469,010)(4,165,988)Ⅱ. 투자활동 현금흐름(15,951,220)(27,325,848)1. 단기금융상품의 순감소(증가)2,709,251(14,062,772)2. 단기매도가능금융자산의 순감소435,81333,6333. 장기매도가능금융자산의 처분18,7291,606,4364. 장기매도가능금융자산의 취득(3,673,800)(1,253,174)5. 종속기업, 관계기업 및 공동기업 투자의 처분21,41157,7796. 종속기업, 관계기업 및 공동기업 투자의 취득(1,236,303)(2,882,883)7. 유형자산의 처분195,588224,6638. 유형자산의 취득(10,867,797)(10,283,821)9. 무형자산의 처분5,17691710. 무형자산의 취득(1,254,109)(748,080)11. 기타 투자활동으로 인한 현금유출액(2,305,179)(18,546)Ⅲ. 재무활동 현금흐름(3,089,586)(1,356,325)1. 단기차입금의 순차입(상환)170,576(178,713)2. 자기주식의 취득(1,125,322)-3. 주식선택권의 행사로 인한 자기주식의 처분27,58234,3904. 사채의 상환(5,274)(5,356)5. 배당금의 지급(2,157,148)(1,206,646)Ⅳ. 현금및현금성자산의 감소(Ⅰ+Ⅱ+Ⅲ)(386,989)(239,115)Ⅴ. 기초의 현금및현금성자산2,030,3072,269,422Ⅵ. 기말의 현금및현금성자산1,643,3182,030,307 별첨 주석은 본 재무제표의 일부입니다.",감사보고서_2014.htm,,,,,,,,,,,,
2014,주석,8,"주석 제 46 기 : 2014년 12월 31일 현재제 45 기 : 2013년 12월 31일 현재삼성전자주식회사 1. 일반적 사항:삼성전자주식회사(이하 ""회사"")는 1969년 대한민국에서 설립되어 1975년에 대한민국의 증권거래소에 상장하였습니다. 회사의 사업은 CE부문, IM부문, DS부문으로 구성되어 있습니다. CE(Consumer Electronics) 부문은 디지털 TV, 모니터, 프린터, 에어컨 및 냉장고 등의 사업으로 구성되어 있고, IM(Information technology & Mobilecommunications) 부문은 휴대폰, 통신시스템, 컴퓨터 등의 사업으로 구성되어 있으며, DS(Device Solutions) 부문은 메모리 반도체, 시스템 LSI 등의 반도체 사업으로 구성되어 있습니다. 회사의 본점 소재지는 경기도 수원시입니다. 2. 중요한 회계처리방침 : 다음은 재무제표의 작성에 적용된 주요한 회계정책입니다. 이러한 정책은 별도의 언급이 없다면, 표시된 회계기간에 계속적으로 적용됩니다. 2.1 재무제표 작성기준 이 재무제표는 한국채택국제회계기준에 따라 작성되었으며, 기업회계기준서 제1027호 '별도재무제표'에 따른 별도재무제표입니다. 한국채택국제회계기준은 국제회계기준위원회(""IASB"")가 발표한 기준서와 해석서 중 대한민국이 채택한 내용을 의미합니다.계속;",감사보고서_2014.htm,,,,,,,,,,,,
2014,주석,9,"2. 중요한 회계처리방침, 계속 :한국채택국제회계기준은 재무제표 작성시 중요한 회계추정의 사용을 허용하고 있으며, 회계정책을 적용함에 있어 경영진의 판단을 요구하고 있습니다. 보다 복잡하고 높은 수준의 판단이 요구되는 부분이나 중요한 가정 및 추정이 요구되는 부분은 주석3에서 설명하고 있습니다. 2.2 회계정책과 공시의 변경 가. 회사가 채택한 제ㆍ개정 기준서 회사는 2014년 1월 1일로 개시하는 회계기간부터 다음의 제ㆍ개정 기준서를 신규로 적용하였습니다.- 기업회계기준서 제1032호 '금융상품: 표시' 개정기업회계기준서 제1032호 '금융상품: 표시'의 개정에 따라 상계권리가 미래 사건에 좌우되지 않고 법적으로 집행 가능하며 결제 결과가 실질적으로 차액결제와 동일한 방식으로 결제할 수 있는 경우 상계가 가능함이 명확히 규정되었습니다.기업회계기준서 제1032호의 채택으로 인하여 재무제표에 미치는 유의적인 영향은 없습니다.- 해석서 제2121호 '부담금' 제정법규에 따라 정부에서 부과하는 부담금부채는 법규에 명시된 부담금 납부를 유발하는 활동(의무발생사건)이 발생하는 시점에 인식하도록 규정하고 있습니다. 해석서 제2121호의 채택으로 인하여 재무제표에 미치는 유의적인 영향은 없습니다. 계속;",감사보고서_2014.htm,,,,,,,,,,,,
2014,주석,10,"2. 중요한 회계처리방침, 계속 :나. 회사가 적용하지 않은 제ㆍ개정 기준서-기업회계기준서 제1027호 '별도재무제표' 개정기업회계기준서 제1027호 '별도재무제표' 개정에 따라 종속기업, 공동기업 및 관계기업에 대한 투자자산은 범주별로 원가법, 기업회계기준서 제1039호에 따른 방법, 또는 기업회계기준서 제1028호에서 규정하는 지분법 중 하나를 선택하여 회계처리 할 수 있습니다. 동 개정내용은 2016년 1월 1일 이후에 개시하는 회계연도부터 적용될 예정이며, 조기적용이 허용됩니다. 회사는 상기의 개정 기준서의 적용이 재무제표에 미치는 영향을 검토 중에 있습니다. 2.3 종속기업, 관계기업 및 공동기업기업회계기준서 제1110호 '연결재무제표'에 의한 지배회사인 회사는 삼성디스플레이 및 Samsung Electronics America 등158개의종속기업과 삼성전기 등37개의관계기업 및 공동기업에 투자하고 있습니다.회사는 별도재무제표에서 종속기업, 관계기업 및 공동기업에 대한 투자를 기업회계기준서 제1027호 ""별도재무제표""에 따라 원가법으로 처리하고 있습니다. 계속;",감사보고서_2014.htm,,,,,,,,,,,,
